text_response,anxiety_label,anxiety_code,heart_rate,sleep_hours,study_hours_per_day,days_since_last_break,social_interactions_per_week,water_intake_liters,exercise_minutes_per_day
No major worries just some normal exam jitters,Low,0,68.7,8.0,4.4,1,10,3.0,43
I feel quite relaxed about my upcoming exams,Low,0,80.1,6.8,3.3,0,5,2.5,29
I am calm and focused during my study sessions,Low,0,68.9,8.5,4.8,2,6,2.6,38
I feel stressed but try to manage it with breaks,Moderate,1,80.9,7.1,6.2,3,5,2.3,14
I sometimes procrastinate due to exam pressure and worry,Moderate,1,72.6,5.5,8.2,4,3,1.5,10
My preparation is going smoothly without much stress,Low,0,76.3,7.2,4.8,0,7,2.6,26
I sometimes procrastinate due to exam pressure and worry,Moderate,1,74.0,5.5,6.9,5,3,1.4,12
I sleep well and feel mentally prepared,Low,0,71.9,7.1,2.6,2,8,2.8,24
I feel completely hopeless and unprepared for the exams,High,2,98.6,4.7,7.1,6,1,1.3,1
My appetite has slightly reduced during exam preparation,Moderate,1,79.9,5.9,6.8,3,5,1.6,11
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,80.3,6.9,6.5,3,6,1.9,20
I feel good about my chances in the exam,Low,0,78.2,7.5,5.3,2,9,3.0,21
I feel overwhelmed when I look at the entire syllabus,Moderate,1,83.2,5.5,6.8,3,2,1.5,23
I feel stressed but try to manage it with breaks,Moderate,1,82.2,5.3,8.1,5,4,1.8,7
I sleep well and feel mentally prepared,Low,0,72.6,7.8,6.6,1,8,2.1,35
My preparation is going smoothly without much stress,Low,0,68.1,6.8,3.2,1,9,2.7,39
I feel moderate pressure from family expectations about results,Moderate,1,88.4,6.9,7.7,2,6,1.5,19
I have been having severe headaches and chest tightness from stress,High,2,104.0,4.3,10.1,11,2,1.1,10
I am calm and focused during my study sessions,Low,0,77.3,6.6,3.8,0,10,1.9,48
I have not been able to sleep for days because of exam fear,High,2,97.8,4.1,8.2,9,1,1.4,5
I feel a little nervous but it motivates me positively,Low,0,74.7,8.0,4.6,2,5,2.2,51
I cannot stop worrying about failing the exam at all,High,2,84.9,3.2,7.2,11,1,1.2,8
I feel quite relaxed about my upcoming exams,Low,0,69.8,7.1,4.8,1,9,3.0,27
I feel a little nervous but it motivates me positively,Low,0,72.3,7.6,6.5,2,10,2.7,29
I feel a little nervous but it motivates me positively,Low,0,68.5,7.3,4.6,1,10,2.1,55
No major worries just some normal exam jitters,Low,0,71.6,7.7,5.3,0,6,2.7,43
No major worries just some normal exam jitters,Low,0,76.2,7.2,4.6,2,5,1.9,59
My appetite has slightly reduced during exam preparation,Moderate,1,81.9,4.9,8.2,5,4,2.0,5
I have not been able to sleep for days because of exam fear,High,2,87.7,6.1,6.3,5,2,1.0,8
I am calm and focused during my study sessions,Low,0,66.0,7.7,6.2,0,6,2.3,54
My preparation is going smoothly without much stress,Low,0,70.7,6.9,7.6,0,10,2.5,38
I have not been able to sleep for days because of exam fear,High,2,105.5,6.0,10.3,10,1,1.5,9
I feel good about my chances in the exam,Low,0,66.0,7.8,6.5,0,10,2.9,22
I cannot stop worrying about failing the exam at all,High,2,113.5,5.0,8.1,7,2,1.0,2
I feel like everything depends on this exam and I might fail,High,2,84.5,4.1,8.9,12,0,1.3,6
I experience panic attacks when I think about exams,High,2,85.1,5.0,4.9,10,2,1.0,1
I feel quite relaxed about my upcoming exams,Low,0,72.4,8.2,3.9,1,8,2.4,47
I have been studying consistently and feel confident,Low,0,80.4,7.2,5.6,2,10,3.0,26
My preparation is going smoothly without much stress,Low,0,68.0,7.7,6.9,0,9,2.9,35
I feel quite relaxed about my upcoming exams,Low,0,71.8,7.8,3.9,1,7,2.6,31
No major worries just some normal exam jitters,Low,0,69.6,7.6,3.6,0,9,2.1,58
I feel a little nervous but it motivates me positively,Low,0,70.3,7.3,3.6,1,9,2.3,49
I have been having severe headaches and chest tightness from stress,High,2,100.0,5.7,9.9,14,1,0.9,3
No major worries just some normal exam jitters,Low,0,65.1,7.0,5.5,1,6,2.7,54
I feel moderate pressure from family expectations about results,Moderate,1,79.1,4.7,7.5,4,4,2.2,9
I feel stressed but try to manage it with breaks,Moderate,1,85.6,6.0,6.4,4,3,1.9,10
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,82.7,6.2,7.5,4,2,2.0,6
I have been feeling restless lately because of exams,Moderate,1,85.1,6.3,7.6,5,5,2.1,14
I am confident in my preparation and feel steady,Low,0,76.2,6.9,5.5,1,9,2.9,39
I feel extremely stressed and cannot focus on anything,High,2,88.0,4.7,7.2,14,2,1.1,10
My preparation is going smoothly without much stress,Low,0,68.1,7.4,4.5,2,8,2.5,27
I feel good about my chances in the exam,Low,0,76.1,7.9,6.3,2,8,2.5,29
I have been feeling restless lately because of exams,Moderate,1,86.1,5.8,7.7,4,4,2.0,12
I feel a little nervous but it motivates me positively,Low,0,73.3,8.0,6.7,1,5,2.8,50
I feel quite relaxed about my upcoming exams,Low,0,69.6,8.0,5.1,2,9,2.2,34
I feel like everything depends on this exam and I might fail,High,2,101.3,4.1,10.5,12,1,1.1,6
My mind goes completely blank whenever I try to study,High,2,99.9,5.0,9.3,12,1,1.2,10
I feel like everything depends on this exam and I might fail,High,2,96.4,5.0,10.1,14,1,1.8,1
I feel a little nervous but it motivates me positively,Low,0,65.1,7.1,5.0,2,6,3.0,39
My heart races and I feel nauseous when exam date approaches,High,2,93.8,3.7,9.8,14,0,1.0,1
I manage my time well and feel in control,Low,0,67.1,7.8,4.5,0,10,2.3,35
I get nervous but can still function and study normally,Moderate,1,95.1,5.0,7.2,2,2,1.6,21
I experience panic attacks when I think about exams,High,2,83.7,4.4,8.3,5,0,1.2,5
I cannot stop worrying about failing the exam at all,High,2,108.1,5.0,9.8,12,0,1.1,5
No major worries just some normal exam jitters,Low,0,73.6,6.9,5.9,0,8,2.4,34
I cannot stop worrying about failing the exam at all,High,2,105.1,4.2,7.4,11,2,1.6,8
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,83.5,6.5,7.5,3,6,1.4,13
I sometimes procrastinate due to exam pressure and worry,Moderate,1,79.1,5.8,5.7,5,4,1.6,21
I worry a bit about failing but I keep studying,Moderate,1,84.0,5.3,8.3,5,6,1.5,16
I enjoy studying and feel ready for assessments,Low,0,71.1,7.5,3.9,0,8,2.1,32
No major worries just some normal exam jitters,Low,0,70.1,8.0,6.9,2,9,3.0,55
I cannot stop worrying about failing the exam at all,High,2,108.8,5.1,10.3,11,1,0.8,6
My appetite has slightly reduced during exam preparation,Moderate,1,87.1,5.8,6.7,2,3,2.0,11
I feel stressed but try to manage it with breaks,Moderate,1,83.6,7.1,5.8,2,5,1.4,10
My mind goes completely blank whenever I try to study,High,2,93.3,4.8,8.8,7,1,1.3,2
I enjoy studying and feel ready for assessments,Low,0,75.0,7.9,5.8,1,7,2.6,41
I feel a little nervous but it motivates me positively,Low,0,72.4,7.1,6.5,1,7,2.7,24
I feel moderate pressure from family expectations about results,Moderate,1,87.2,6.6,6.7,4,6,1.8,24
No major worries just some normal exam jitters,Low,0,73.4,8.5,5.9,1,8,2.4,55
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,89.0,5.7,7.6,2,5,1.7,12
I am confident in my preparation and feel steady,Low,0,67.0,6.9,6.2,1,5,2.7,23
I cannot stop worrying about failing the exam at all,High,2,91.3,3.6,8.7,8,1,1.8,6
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,88.6,5.8,8.1,4,6,1.5,17
I have not been able to sleep for days because of exam fear,High,2,95.0,5.2,8.8,10,2,1.1,3
I am constantly trembling and cannot eat or sleep properly,High,2,94.1,5.1,9.6,10,0,1.3,7
I cry frequently because of the unbearable exam pressure,High,2,101.7,4.4,8.0,12,1,1.7,10
I feel extremely stressed and cannot focus on anything,High,2,88.0,4.4,5.7,14,2,1.3,0
I am calm and focused during my study sessions,Low,0,73.1,8.0,3.6,0,6,2.0,46
I cry frequently because of the unbearable exam pressure,High,2,101.1,4.6,8.8,13,1,0.8,10
I have been studying consistently and feel confident,Low,0,80.0,7.2,4.0,1,6,2.5,49
My heart races and I feel nauseous when exam date approaches,High,2,91.1,4.8,9.5,9,1,0.6,2
I feel stressed but try to manage it with breaks,Moderate,1,79.7,6.6,6.6,5,5,1.8,20
I am constantly trembling and cannot eat or sleep properly,High,2,91.9,4.7,8.9,5,1,1.5,8
I am confident in my preparation and feel steady,Low,0,69.7,6.3,3.4,0,6,2.7,60
I manage my time well and feel in control,Low,0,71.2,7.3,4.0,1,9,2.0,52
I feel overwhelmed when I look at the entire syllabus,Moderate,1,84.6,6.9,7.7,5,4,1.9,13
I am confident in my preparation and feel steady,Low,0,68.9,8.4,5.7,2,5,2.3,30
I feel overwhelmed when I look at the entire syllabus,Moderate,1,87.0,6.4,6.6,5,3,1.6,8
I am constantly trembling and cannot eat or sleep properly,High,2,94.6,4.8,10.0,9,0,1.4,5
The thought of the exam fills me with dread and terror,High,2,88.1,4.7,8.9,6,2,1.0,10
I feel completely hopeless and unprepared for the exams,High,2,91.2,3.7,8.9,13,1,1.3,2
I feel moderate pressure from family expectations about results,Moderate,1,84.2,5.8,7.3,5,4,1.7,11
I feel like everything depends on this exam and I might fail,High,2,108.8,4.3,9.2,12,2,0.9,7
I am calm and focused during my study sessions,Low,0,77.4,7.7,5.0,0,9,2.7,23
No major worries just some normal exam jitters,Low,0,70.8,7.0,4.4,1,7,2.7,40
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,81.5,5.8,6.9,2,5,1.9,12
I feel moderate pressure from family expectations about results,Moderate,1,84.1,8.1,7.4,4,3,1.7,8
My preparation is going smoothly without much stress,Low,0,72.4,6.5,5.9,1,5,2.6,32
I feel extremely stressed and cannot focus on anything,High,2,92.3,3.6,8.1,9,0,1.3,1
Exams do not bother me much this time,Low,0,71.6,8.8,4.2,2,5,3.0,47
No major worries just some normal exam jitters,Low,0,64.8,6.4,5.4,1,8,2.3,50
I have been having severe headaches and chest tightness from stress,High,2,92.7,4.4,9.6,6,0,1.3,6
I feel tense when thinking about results but manage to study,Moderate,1,83.2,4.7,7.0,3,4,1.6,15
I feel overwhelmed when I look at the entire syllabus,Moderate,1,81.2,6.0,9.6,4,6,1.5,12
I feel stressed but try to manage it with breaks,Moderate,1,86.8,6.4,5.2,4,5,1.6,21
I get nervous but can still function and study normally,Moderate,1,82.8,6.2,6.2,3,4,1.9,20
I feel like everything depends on this exam and I might fail,High,2,104.5,5.7,7.6,8,2,0.9,8
The thought of the exam fills me with dread and terror,High,2,97.2,5.0,9.8,10,2,1.4,2
I have been feeling restless lately because of exams,Moderate,1,76.5,5.4,9.9,5,3,2.2,14
I enjoy studying and feel ready for assessments,Low,0,63.9,8.1,4.3,2,7,2.3,27
I feel stressed but try to manage it with breaks,Moderate,1,97.6,6.3,5.6,3,5,1.6,15
I have been feeling restless lately because of exams,Moderate,1,84.4,6.5,5.7,4,2,2.3,23
I sometimes procrastinate due to exam pressure and worry,Moderate,1,87.3,6.5,7.4,5,3,1.8,24
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,86.2,6.9,6.4,5,3,1.9,8
I feel overwhelmed when I look at the entire syllabus,Moderate,1,85.8,5.0,7.8,5,6,1.4,18
I feel moderate pressure from family expectations about results,Moderate,1,88.3,6.7,5.2,3,6,1.5,25
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,95.4,5.4,4.5,5,6,1.7,16
The thought of the exam fills me with dread and terror,High,2,100.3,5.2,8.0,13,2,1.2,7
No major worries just some normal exam jitters,Low,0,80.4,7.7,4.3,2,6,2.5,30
I feel overwhelmed when I look at the entire syllabus,Moderate,1,78.6,6.5,7.7,2,2,2.4,13
No major worries just some normal exam jitters,Low,0,79.8,7.0,6.0,2,8,2.4,41
I have not been able to sleep for days because of exam fear,High,2,79.9,4.6,10.2,13,1,1.2,5
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,82.9,5.8,7.8,4,4,1.3,25
No major worries just some normal exam jitters,Low,0,79.0,7.8,5.0,2,8,2.1,38
No major worries just some normal exam jitters,Low,0,80.4,7.3,6.1,0,8,2.5,40
I feel like everything depends on this exam and I might fail,High,2,91.4,3.6,10.3,7,1,1.3,2
I enjoy studying and feel ready for assessments,Low,0,71.1,7.4,5.0,0,9,2.5,24
I feel extremely stressed and cannot focus on anything,High,2,95.5,4.9,9.4,8,1,0.6,3
I cannot stop worrying about failing the exam at all,High,2,99.4,4.5,6.8,8,2,0.8,5
I cannot stop worrying about failing the exam at all,High,2,100.8,4.0,8.8,11,0,1.2,4
I am calm and focused during my study sessions,Low,0,70.3,7.3,4.7,2,8,3.1,55
I am confident in my preparation and feel steady,Low,0,59.5,8.6,3.6,1,9,2.0,57
I feel completely hopeless and unprepared for the exams,High,2,97.8,3.0,9.9,7,0,1.3,5
I manage my time well and feel in control,Low,0,68.2,7.6,5.3,1,6,3.1,48
I cannot stop worrying about failing the exam at all,High,2,87.1,4.5,8.2,14,0,0.7,0
I feel extremely stressed and cannot focus on anything,High,2,103.1,5.1,7.6,14,0,1.6,3
I feel a little nervous but it motivates me positively,Low,0,74.9,8.6,4.0,2,8,2.3,43
I get anxious during revision but calm down after some time,Moderate,1,85.6,6.8,5.6,5,6,1.6,9
I cannot stop worrying about failing the exam at all,High,2,89.1,4.6,7.1,5,0,0.7,2
I feel good about my chances in the exam,Low,0,83.6,7.7,5.2,0,8,2.4,38
My preparation is going smoothly without much stress,Low,0,69.0,7.7,3.4,0,6,2.6,52
I enjoy studying and feel ready for assessments,Low,0,71.8,7.8,5.0,1,10,2.5,43
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,83.6,6.4,9.0,5,4,1.3,19
No major worries just some normal exam jitters,Low,0,69.3,7.7,5.0,2,5,2.8,45
My mind goes completely blank whenever I try to study,High,2,105.4,5.4,6.9,13,1,1.4,6
I feel good about my chances in the exam,Low,0,76.3,7.4,5.0,2,9,2.2,53
I feel moderate pressure from family expectations about results,Moderate,1,82.3,5.4,7.8,4,5,1.7,8
I feel moderate pressure from family expectations about results,Moderate,1,70.5,7.2,6.7,2,2,1.9,10
I have not been able to sleep for days because of exam fear,High,2,104.8,5.3,9.8,9,0,1.3,7
My preparation is going smoothly without much stress,Low,0,67.0,7.1,5.0,0,8,2.6,56
My mind goes completely blank whenever I try to study,High,2,100.2,4.1,8.0,8,1,1.2,4
I feel quite relaxed about my upcoming exams,Low,0,67.1,8.0,4.0,1,10,2.4,50
I have been having severe headaches and chest tightness from stress,High,2,111.4,3.9,6.5,5,2,1.1,9
I get anxious during revision but calm down after some time,Moderate,1,79.2,6.3,7.8,2,6,2.0,22
I have been having severe headaches and chest tightness from stress,High,2,85.1,4.4,9.8,9,1,1.7,9
My appetite has slightly reduced during exam preparation,Moderate,1,85.0,6.1,7.7,5,6,1.7,7
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,64.9,6.1,8.8,2,3,2.2,6
The thought of the exam fills me with dread and terror,High,2,97.6,3.8,6.7,11,0,1.3,9
I get anxious during revision but calm down after some time,Moderate,1,81.9,4.9,6.5,4,2,1.7,11
I manage my time well and feel in control,Low,0,75.7,7.6,4.9,0,5,2.4,44
I cry frequently because of the unbearable exam pressure,High,2,102.9,4.6,6.6,8,1,1.0,3
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,88.8,6.3,6.4,4,4,2.3,10
I have been studying consistently and feel confident,Low,0,73.4,6.9,3.9,2,5,2.8,42
I have been studying consistently and feel confident,Low,0,61.9,7.6,4.3,0,7,2.8,24
I am constantly trembling and cannot eat or sleep properly,High,2,111.2,3.7,7.7,6,1,1.4,9
I feel completely hopeless and unprepared for the exams,High,2,97.9,2.8,9.8,9,0,1.0,2
I enjoy studying and feel ready for assessments,Low,0,77.0,6.1,7.1,1,9,2.5,51
I cry frequently because of the unbearable exam pressure,High,2,87.4,6.0,7.1,14,0,1.3,9
The thought of the exam fills me with dread and terror,High,2,83.7,4.0,9.9,6,1,1.0,7
My appetite has slightly reduced during exam preparation,Moderate,1,80.3,5.7,7.3,2,2,1.9,18
I feel completely hopeless and unprepared for the exams,High,2,90.6,5.4,7.2,6,0,1.3,1
My mind goes completely blank whenever I try to study,High,2,98.6,5.7,10.3,11,1,0.9,8
I enjoy studying and feel ready for assessments,Low,0,84.6,7.2,4.5,2,7,2.8,47
I feel moderate pressure from family expectations about results,Moderate,1,65.6,5.7,6.0,5,4,1.3,7
I feel stressed but try to manage it with breaks,Moderate,1,84.3,5.2,6.4,3,2,1.5,9
I get anxious during revision but calm down after some time,Moderate,1,76.4,6.2,8.2,2,6,1.6,25
I feel extremely stressed and cannot focus on anything,High,2,99.8,5.7,8.3,12,0,1.1,8
I cannot stop worrying about failing the exam at all,High,2,85.8,5.0,10.0,13,2,1.3,0
I feel overwhelmed when I look at the entire syllabus,Moderate,1,75.6,6.1,8.3,2,2,1.9,5
I worry a bit about failing but I keep studying,Moderate,1,90.9,5.9,4.9,4,6,1.6,20
I feel extremely stressed and cannot focus on anything,High,2,114.4,3.3,10.9,11,0,1.5,7
I feel like everything depends on this exam and I might fail,High,2,92.3,4.4,8.4,6,2,0.8,1
I feel good about my chances in the exam,Low,0,75.9,6.1,6.1,1,7,2.0,31
I get anxious during revision but calm down after some time,Moderate,1,88.5,6.3,7.4,3,5,2.0,25
I have been studying consistently and feel confident,Low,0,70.9,7.5,5.2,0,5,1.9,46
I sometimes procrastinate due to exam pressure and worry,Moderate,1,78.5,5.7,8.2,5,5,2.3,9
I have been feeling restless lately because of exams,Moderate,1,71.2,6.6,5.8,2,5,2.0,25
I experience panic attacks when I think about exams,High,2,99.0,5.0,8.8,6,1,1.2,10
I cry frequently because of the unbearable exam pressure,High,2,97.1,5.3,6.9,7,1,1.2,3
The thought of the exam fills me with dread and terror,High,2,92.2,5.1,8.2,10,1,1.2,0
I cannot stop worrying about failing the exam at all,High,2,106.0,3.4,8.5,8,2,1.0,3
I manage my time well and feel in control,Low,0,63.5,7.5,4.0,0,10,2.2,35
I get anxious during revision but calm down after some time,Moderate,1,86.7,6.8,6.9,5,2,1.7,16
I feel overwhelmed when I look at the entire syllabus,Moderate,1,90.2,6.1,5.0,2,5,1.5,20
I sleep well and feel mentally prepared,Low,0,72.4,7.2,6.0,0,9,2.5,25
I enjoy studying and feel ready for assessments,Low,0,78.0,6.7,4.4,1,10,2.6,28
I worry a bit about failing but I keep studying,Moderate,1,79.4,7.2,9.0,3,2,1.6,22
I am calm and focused during my study sessions,Low,0,70.9,8.2,5.1,1,5,2.4,57
I feel a little nervous but it motivates me positively,Low,0,74.5,7.0,5.1,2,9,2.7,27
I have not been able to sleep for days because of exam fear,High,2,103.5,4.2,10.1,7,1,2.0,1
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,91.8,6.7,7.3,3,5,2.3,9
My mind goes completely blank whenever I try to study,High,2,89.6,3.0,8.4,8,0,1.5,4
I am confident in my preparation and feel steady,Low,0,69.6,6.9,5.1,1,8,2.0,58
I experience panic attacks when I think about exams,High,2,92.4,4.3,8.9,11,0,1.2,10
I feel stressed but try to manage it with breaks,Moderate,1,81.6,6.3,8.0,2,2,1.8,14
The thought of the exam fills me with dread and terror,High,2,101.2,4.5,5.5,12,1,1.4,5
I have been having severe headaches and chest tightness from stress,High,2,102.5,4.5,8.7,11,1,1.1,6
I feel good about my chances in the exam,Low,0,72.3,6.5,4.1,2,10,2.5,28
I sometimes procrastinate due to exam pressure and worry,Moderate,1,77.3,6.3,9.1,4,6,1.5,24
I feel a little nervous but it motivates me positively,Low,0,71.9,7.6,6.3,1,8,2.3,38
The thought of the exam fills me with dread and terror,High,2,96.4,3.7,7.9,7,0,0.8,8
Exams do not bother me much this time,Low,0,77.8,7.6,5.3,1,10,2.4,44
I have been feeling restless lately because of exams,Moderate,1,81.1,6.1,6.2,5,6,2.4,18
I have been feeling restless lately because of exams,Moderate,1,82.8,5.9,7.3,5,3,2.2,22
I cry frequently because of the unbearable exam pressure,High,2,87.0,4.2,9.3,6,1,1.6,4
I feel a little nervous but it motivates me positively,Low,0,82.6,8.0,3.5,0,5,2.4,26
I feel quite relaxed about my upcoming exams,Low,0,78.0,7.3,3.0,1,7,2.2,33
I get nervous but can still function and study normally,Moderate,1,85.5,5.8,6.2,4,6,1.5,14
I am calm and focused during my study sessions,Low,0,71.1,7.3,5.7,1,10,2.8,21
I feel quite relaxed about my upcoming exams,Low,0,73.2,8.8,5.6,1,6,2.0,28
I feel good about my chances in the exam,Low,0,69.6,7.3,5.4,2,6,2.4,59
My heart races and I feel nauseous when exam date approaches,High,2,101.4,3.9,8.9,10,0,1.2,6
I am constantly trembling and cannot eat or sleep properly,High,2,92.5,5.1,8.6,14,2,1.1,9
I manage my time well and feel in control,Low,0,71.2,7.6,6.2,0,10,2.3,54
I feel overwhelmed when I look at the entire syllabus,Moderate,1,80.1,6.6,7.3,2,5,1.9,7
No major worries just some normal exam jitters,Low,0,70.2,6.9,3.7,1,10,2.8,51
I feel like everything depends on this exam and I might fail,High,2,101.5,5.4,10.3,14,2,1.3,7
I sometimes procrastinate due to exam pressure and worry,Moderate,1,86.7,5.7,7.4,5,5,1.8,24
I sleep well and feel mentally prepared,Low,0,70.4,7.4,6.3,1,8,2.7,43
I feel completely hopeless and unprepared for the exams,High,2,113.4,3.4,6.2,8,0,1.4,1
My appetite has slightly reduced during exam preparation,Moderate,1,87.1,5.9,8.1,3,3,2.5,6
I get nervous but can still function and study normally,Moderate,1,86.3,6.4,6.3,5,3,2.0,12
My appetite has slightly reduced during exam preparation,Moderate,1,89.3,6.4,6.9,5,6,2.0,21
I feel overwhelmed when I look at the entire syllabus,Moderate,1,88.3,5.7,6.5,2,6,1.9,25
I feel overwhelmed when I look at the entire syllabus,Moderate,1,89.3,5.3,6.6,5,6,1.9,25
I experience panic attacks when I think about exams,High,2,96.1,2.8,9.2,7,0,1.9,8
I feel overwhelmed when I look at the entire syllabus,Moderate,1,82.2,6.6,7.8,2,6,1.3,22
I feel stressed but try to manage it with breaks,Moderate,1,76.8,5.1,5.5,5,6,2.1,14
I feel moderate pressure from family expectations about results,Moderate,1,79.7,6.1,5.8,4,3,1.7,17
I feel tense when thinking about results but manage to study,Moderate,1,88.9,6.6,5.8,5,5,1.8,21
The thought of the exam fills me with dread and terror,High,2,101.4,4.4,8.2,7,2,1.1,2
I enjoy studying and feel ready for assessments,Low,0,68.6,8.6,6.0,1,5,2.4,38
I have been studying consistently and feel confident,Low,0,81.3,7.7,3.8,1,8,2.7,30
I enjoy studying and feel ready for assessments,Low,0,76.0,7.0,6.4,1,10,2.1,57
I am calm and focused during my study sessions,Low,0,71.8,6.8,5.1,2,8,2.3,39
I have been feeling restless lately because of exams,Moderate,1,70.0,6.6,6.5,2,3,1.8,18
I feel good about my chances in the exam,Low,0,59.6,7.1,5.6,1,7,2.4,45
I cry frequently because of the unbearable exam pressure,High,2,99.9,5.4,7.7,5,2,1.3,9
I have been having severe headaches and chest tightness from stress,High,2,104.7,4.2,9.0,7,1,0.8,1
No major worries just some normal exam jitters,Low,0,73.2,6.5,3.3,1,5,2.3,21
My mind goes completely blank whenever I try to study,High,2,87.3,5.2,10.4,10,2,0.7,4
My appetite has slightly reduced during exam preparation,Moderate,1,87.9,5.2,7.8,5,2,2.3,9
I feel completely hopeless and unprepared for the exams,High,2,104.6,5.5,8.8,8,1,1.1,9
I have been feeling restless lately because of exams,Moderate,1,78.6,6.1,7.5,5,6,2.2,6
I have been having severe headaches and chest tightness from stress,High,2,107.6,5.9,6.5,10,1,0.9,7
I feel stressed but try to manage it with breaks,Moderate,1,72.6,7.0,7.0,4,2,1.9,20
I have been having severe headaches and chest tightness from stress,High,2,84.1,4.3,10.8,8,1,0.7,5
I feel overwhelmed when I look at the entire syllabus,Moderate,1,83.7,6.4,7.0,5,5,2.3,6
I have been having severe headaches and chest tightness from stress,High,2,103.6,4.5,8.1,14,0,1.4,6
I feel overwhelmed when I look at the entire syllabus,Moderate,1,82.4,5.9,7.1,3,3,2.1,24
I experience panic attacks when I think about exams,High,2,99.8,3.7,10.2,6,1,0.9,9
I am calm and focused during my study sessions,Low,0,64.0,7.2,5.0,0,5,2.5,55
I feel tense when thinking about results but manage to study,Moderate,1,71.3,6.1,5.2,3,5,2.0,17
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,89.7,6.7,6.2,3,4,1.9,18
The thought of the exam fills me with dread and terror,High,2,94.4,4.7,10.7,9,0,1.0,7
I have not been able to sleep for days because of exam fear,High,2,98.3,3.7,7.7,9,0,1.6,2
I cry frequently because of the unbearable exam pressure,High,2,102.3,4.0,10.3,6,2,0.8,4
I have been having severe headaches and chest tightness from stress,High,2,113.3,5.5,9.3,12,2,1.5,10
My heart races and I feel nauseous when exam date approaches,High,2,92.7,5.2,9.8,14,0,1.3,2
I enjoy studying and feel ready for assessments,Low,0,75.2,8.6,4.7,2,7,2.6,26
I feel completely hopeless and unprepared for the exams,High,2,104.2,5.1,9.0,13,2,0.9,3
I worry a bit about failing but I keep studying,Moderate,1,85.0,6.2,7.5,2,6,1.3,6
The thought of the exam fills me with dread and terror,High,2,100.2,4.4,12.4,9,2,1.5,3
I have not been able to sleep for days because of exam fear,High,2,91.4,4.8,10.4,12,1,1.1,9
I feel good about my chances in the exam,Low,0,70.7,6.9,6.6,2,10,2.1,26
I feel quite relaxed about my upcoming exams,Low,0,69.8,7.6,6.4,1,10,2.1,41
I feel like everything depends on this exam and I might fail,High,2,101.3,6.1,7.7,11,2,1.1,7
My preparation is going smoothly without much stress,Low,0,72.8,7.7,5.3,0,7,3.2,36
